x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1041.865,951.526,108.608,103.58237573035984,5.025624269640161,Heavy Cut > 2.0 m
1006.865,952.526,121.1116611315335,105.6006149485371,15.511046182996395,Heavy Cut > 2.0 m
1007.865,952.526,120.98032159043234,106.00667249469369,14.97364909573865,Heavy Cut > 2.0 m
1008.865,952.526,120.5100251744227,106.24898406549923,14.261041108923465,Heavy Cut > 2.0 m
1009.865,952.526,120.00203177673114,106.37419759047668,13.62783418625446,Heavy Cut > 2.0 m
1010.865,952.526,119.49403837903962,106.4377946387232,13.056243740316418,Heavy Cut > 2.0 m
1011.865,952.526,119.03785564145481,106.46046069656578,12.577394944889036,Heavy Cut > 2.0 m
1012.865,952.526,118.606135486093,106.44436280056703,12.16177268552596,Heavy Cut > 2.0 m
1013.865,952.526,118.17441533073121,106.39894628953749,11.775469041193716,Heavy Cut > 2.0 m
1014.865,952.526,117.74269517536939,106.34820217403585,11.394493001333544,Heavy Cut > 2.0 m
1015.865,952.526,117.3254581656283,106.3031825646921,11.022275600936212,Heavy Cut > 2.0 m
1016.865,952.526,117.01001438395608,106.26145741023511,10.748556973720966,Heavy Cut > 2.0 m
1017.865,952.526,116.7256081216747,106.21687230681277,10.508735814861922,Heavy Cut > 2.0 m
1018.865,952.526,116.42452921356428,106.15931374959037,10.265215463973917,Heavy Cut > 2.0 m
1019.865,952.526,116.15181928161549,106.10024185452272,10.051577427092766,Heavy Cut > 2.0 m
1020.865,952.526,115.91427395752896,106.07803843795239,9.836235519576576,Heavy Cut > 2.0 m
1021.865,952.526,115.868,106.09146413490068,9.77653586509932,Heavy Cut > 2.0 m
1022.865,952.526,115.868,106.06130016274537,9.806699837254627,Heavy Cut > 2.0 m
1023.865,952.526,115.868,105.82896396976624,10.03903603023376,Heavy Cut > 2.0 m
1024.865,952.526,115.868,105.2211432942424,10.6468567057576,Heavy Cut > 2.0 m
1025.865,952.526,115.868,104.40310455256025,11.464895447439744,Heavy Cut > 2.0 m
1026.865,952.526,115.868,103.84139280462136,12.02660719537863,Heavy Cut > 2.0 m
1027.865,952.526,115.868,103.6490856906531,12.2189143093469,Heavy Cut > 2.0 m
1028.865,952.526,115.868,103.61743745856748,12.250562541432515,Heavy Cut > 2.0 m
1029.865,952.526,111.857,103.6133859256447,8.243614074355293,Heavy Cut > 2.0 m
1030.865,952.526,111.857,103.60575305496408,8.251246945035916,Heavy Cut > 2.0 m
1031.865,952.526,111.857,103.58926803354379,8.26773196645621,Heavy Cut > 2.0 m
1032.865,952.526,111.857,103.5682808185897,8.2887191814103,Heavy Cut > 2.0 m
1033.865,952.526,111.857,103.5529899607046,8.304010039295406,Heavy Cut > 2.0 m
1034.865,952.526,111.857,103.54888797583746,8.30811202416254,Heavy Cut > 2.0 m
